TRANSITION_DAY,POSITION_SIZE,STATIC_PARAMS.ZSCORE_LOOKBACK,STATIC_PARAMS.ENTRY_THRESHOLD,STATIC_PARAMS.STOP_LOSS_THRESHOLD,ADAPTIVE_PARAMS.OU_LOOKBACK,ADAPTIVE_PARAMS.RISK_AVERSION,score
601,10000,165,0.5,3.75,450,0.3,-inf
601,10000,165,0.5,3.75,450,0.25,-inf
601,10000,165,0.5,3.75,450,0.2,-inf
601,10000,165,0.5,3.75,450,0.15,-inf
601,10000,165,0.5,3.75,500,0.2,-inf
601,10000,165,0.5,3.75,500,0.3,-inf
601,10000,165,0.5,3.75,550,0.45,-inf
601,10000,165,0.5,3.75,500,0.35,-inf
601,10000,165,0.5,3.75,550,0.4,-inf
601,10000,165,0.5,3.75,550,0.35,-inf
601,10000,165,0.5,3.75,550,0.3,-inf
601,10000,165,0.5,3.75,550,0.25,-inf
601,10000,165,0.5,3.75,550,0.2,-inf
601,10000,165,0.5,3.75,550,0.15,-inf
601,10000,165,0.5,3.75,550,0.1,-inf
601,10000,165,0.5,3.75,525,0.5,-inf
601,10000,165,0.5,3.75,525,0.45,-inf
601,10000,165,0.5,3.75,525,0.4,-inf
601,10000,165,0.5,3.75,525,0.35,-inf
601,10000,165,0.5,3.75,525,0.3,-inf
601,10000,165,0.5,3.75,525,0.25,-inf
601,10000,165,0.5,3.75,525,0.2,-inf
601,10000,165,0.5,3.75,525,0.15,-inf
601,10000,165,0.5,3.75,525,0.1,-inf
601,10000,165,0.5,3.75,500,0.5,-inf
601,10000,165,0.5,3.75,500,0.45,-inf
601,10000,165,0.5,3.75,500,0.4,-inf
601,10000,165,0.5,4.0,300,0.5,-inf
601,10000,165,0.5,4.0,325,0.15,-inf
601,10000,165,0.5,4.0,575,0.15,-inf
601,10000,165,0.5,4.0,500,0.4,-inf
601,10000,165,0.5,4.0,500,0.3,-inf
601,10000,165,0.5,4.0,500,0.25,-inf
601,10000,165,0.5,4.0,500,0.2,-inf
601,10000,165,0.5,4.0,500,0.15,-inf
601,10000,165,0.5,4.0,500,0.1,-inf
601,10000,165,0.5,4.0,475,0.5,-inf
601,10000,165,0.5,4.0,475,0.45,-inf
601,10000,165,0.5,4.0,475,0.4,-inf
601,10000,165,0.5,4.0,475,0.35,-inf
601,10000,165,0.5,4.0,475,0.3,-inf
601,10000,165,0.5,4.0,475,0.25,-inf
601,10000,165,0.5,4.0,475,0.2,-inf
601,10000,165,0.5,4.0,475,0.15,-inf
601,10000,165,0.5,4.0,475,0.1,-inf
601,10000,165,0.5,4.0,450,0.5,-inf
601,10000,165,0.5,4.0,450,0.45,-inf
601,10000,165,0.5,4.0,450,0.4,-inf
601,10000,165,0.5,4.0,450,0.35,-inf
601,10000,165,0.5,4.0,450,0.3,-inf
601,10000,165,0.5,4.0,500,0.35,-inf
601,10000,165,0.5,4.0,500,0.45,-inf
601,10000,165,0.5,4.0,450,0.2,-inf
601,10000,165,0.5,4.0,500,0.5,-inf
601,10000,165,0.5,4.0,575,0.1,-inf
601,10000,165,0.5,4.0,550,0.5,-inf
601,10000,165,0.5,4.0,550,0.45,-inf
601,10000,165,0.5,4.0,550,0.4,-inf
601,10000,165,0.5,4.0,550,0.35,-inf
601,10000,165,0.5,4.0,550,0.3,-inf
601,10000,165,0.5,4.0,550,0.25,-inf
601,10000,165,0.5,4.0,550,0.2,-inf
601,10000,165,0.5,4.0,550,0.15,-inf
601,10000,165,0.5,4.0,550,0.1,-inf
601,10000,165,0.5,4.0,525,0.5,-inf
601,10000,165,0.5,4.0,525,0.45,-inf
601,10000,165,0.5,4.0,525,0.4,-inf
601,10000,165,0.5,4.0,525,0.35,-inf
601,10000,165,0.5,4.0,525,0.3,-inf
601,10000,165,0.5,4.0,525,0.25,-inf
601,10000,165,0.5,4.0,525,0.2,-inf
601,10000,165,0.5,4.0,525,0.15,-inf
601,10000,165,0.5,4.0,525,0.1,-inf
601,10000,165,0.5,4.0,450,0.25,-inf
601,10000,165,0.5,4.0,450,0.15,-inf
601,10000,165,0.5,4.0,325,0.2,-inf
601,10000,165,0.5,4.0,375,0.35,-inf
601,10000,165,0.5,4.0,375,0.25,-inf
601,10000,165,0.5,4.0,375,0.2,-inf
601,10000,165,0.5,4.0,375,0.15,-inf
601,10000,165,0.5,4.0,375,0.1,-inf
601,10000,165,0.5,4.0,350,0.5,-inf
601,10000,165,0.5,4.0,350,0.45,-inf
601,10000,165,0.5,4.0,350,0.4,-inf
601,10000,165,0.5,4.0,350,0.35,-inf
601,10000,165,0.5,4.0,350,0.3,-inf
601,10000,165,0.5,4.0,350,0.25,-inf
601,10000,165,0.5,4.0,350,0.2,-inf
601,10000,165,0.5,4.0,350,0.15,-inf
601,10000,165,0.5,4.0,350,0.1,-inf
601,10000,165,0.5,4.0,325,0.5,-inf
601,10000,165,0.5,4.0,325,0.45,-inf
601,10000,165,0.5,4.0,325,0.4,-inf
601,10000,165,0.5,4.0,325,0.35,-inf
601,10000,165,0.5,4.0,325,0.3,-inf
601,10000,165,0.5,4.0,325,0.25,-inf
601,10000,165,0.5,4.0,375,0.3,-inf
601,10000,165,0.5,4.0,375,0.4,-inf
601,10000,165,0.5,4.0,450,0.1,-inf
601,10000,165,0.5,4.0,375,0.45,-inf
601,10000,165,0.5,4.0,425,0.5,-inf
601,10000,165,0.5,4.0,425,0.45,-inf
601,10000,165,0.5,4.0,425,0.4,-inf
601,10000,165,0.5,4.0,425,0.35,-inf
601,10000,165,0.5,4.0,425,0.3,-inf
601,10000,165,0.5,4.0,425,0.25,-inf
601,10000,165,0.5,4.0,425,0.2,-inf
601,10000,165,0.5,4.0,425,0.15,-inf
601,10000,165,0.5,4.0,425,0.1,-inf
601,10000,165,0.5,4.0,400,0.5,-inf
601,10000,165,0.5,4.0,400,0.45,-inf
601,10000,165,0.5,4.0,400,0.4,-inf
601,10000,165,0.5,4.0,400,0.35,-inf
601,10000,165,0.5,4.0,400,0.3,-inf
601,10000,165,0.5,4.0,400,0.25,-inf
601,10000,165,0.5,4.0,400,0.2,-inf
601,10000,165,0.5,4.0,400,0.15,-inf
601,10000,165,0.5,4.0,400,0.1,-inf
601,10000,165,0.5,4.0,375,0.5,-inf
601,10000,165,0.5,3.0,525,0.5,-inf
601,10000,165,0.5,3.0,525,0.45,-inf
601,10000,165,0.5,3.0,525,0.4,-inf
601,10000,150,1.5,3.5,275,0.4,-inf
601,10000,150,1.5,3.5,300,0.4,-inf
601,10000,150,1.5,3.5,300,0.35,-inf
601,10000,150,1.5,3.5,300,0.3,-inf
601,10000,150,1.5,3.5,300,0.25,-inf
601,10000,150,1.5,3.5,300,0.2,-inf
601,10000,150,1.5,3.5,300,0.15,-inf
601,10000,150,1.5,3.5,300,0.1,-inf
601,10000,150,1.5,3.5,275,0.5,-inf
601,10000,150,1.5,3.5,275,0.45,-inf
601,10000,150,1.5,3.5,275,0.35,-inf
601,10000,150,1.5,3.75,250,0.4,-inf
601,10000,150,1.5,3.5,275,0.3,-inf
601,10000,150,1.5,3.5,275,0.25,-inf
601,10000,150,1.5,3.5,275,0.2,-inf
601,10000,150,1.5,3.5,275,0.15,-inf
601,10000,150,1.5,3.5,275,0.1,-inf
601,10000,150,1.5,3.5,250,0.5,-inf
601,10000,150,1.5,3.5,250,0.45,-inf
601,10000,150,1.5,3.5,250,0.4,-inf
601,10000,150,1.5,3.5,250,0.35,-inf
601,10000,150,1.5,3.5,300,0.45,-inf
601,10000,150,1.5,3.5,300,0.5,-inf
601,10000,150,1.5,3.5,325,0.1,-inf
601,10000,150,1.5,3.5,325,0.15,-inf
601,10000,150,1.5,3.5,375,0.2,-inf
601,10000,150,1.5,3.5,375,0.15,-inf
601,10000,150,1.5,3.5,375,0.1,-inf
601,10000,150,1.5,3.5,350,0.5,-inf
601,10000,150,1.5,3.5,350,0.45,-inf
601,10000,150,1.5,3.5,350,0.4,-inf
601,10000,150,1.5,3.5,350,0.35,-inf
601,10000,150,1.5,3.5,350,0.3,-inf
601,10000,150,1.5,3.5,350,0.25,-inf
601,10000,150,1.5,3.5,350,0.2,-inf
601,10000,150,1.5,3.5,350,0.15,-inf
601,10000,150,1.5,3.5,350,0.1,-inf
601,10000,150,1.5,3.5,325,0.5,-inf
601,10000,150,1.5,3.5,325,0.45,-inf
601,10000,150,1.5,3.5,325,0.4,-inf
601,10000,150,1.5,3.5,325,0.35,-inf
601,10000,150,1.5,3.5,325,0.3,-inf
601,10000,150,1.5,3.5,325,0.25,-inf
601,10000,150,1.5,3.5,325,0.2,-inf
601,10000,150,1.5,3.5,250,0.3,-inf
601,10000,150,1.5,3.5,250,0.25,-inf
601,10000,150,1.5,3.5,250,0.2,-inf
601,10000,150,1.5,3.25,550,0.4,-inf
601,10000,150,1.5,3.25,550,0.3,-inf
601,10000,150,1.5,3.25,550,0.25,-inf
601,10000,150,1.5,3.25,550,0.2,-inf
601,10000,150,1.5,3.25,550,0.15,-inf
601,10000,150,1.5,3.25,550,0.1,-inf
601,10000,150,1.5,3.25,525,0.5,-inf
601,10000,150,1.5,3.25,525,0.45,-inf
601,10000,150,1.5,3.25,525,0.4,-inf
601,10000,150,1.5,3.25,525,0.35,-inf
601,10000,150,1.5,3.25,525,0.3,-inf
601,10000,150,1.5,3.25,525,0.25,-inf
601,10000,150,1.5,3.25,525,0.2,-inf
601,10000,150,1.5,3.25,525,0.15,-inf
601,10000,150,1.5,3.25,525,0.1,-inf
601,10000,150,1.5,3.25,500,0.5,-inf
601,10000,150,1.5,3.25,500,0.45,-inf
601,10000,150,1.5,3.25,500,0.4,-inf
601,10000,150,1.5,3.25,500,0.35,-inf
601,10000,150,1.5,3.25,500,0.3,-inf
601,10000,150,1.5,3.25,550,0.35,-inf
601,10000,150,1.5,3.25,550,0.45,-inf
601,10000,150,1.5,3.5,250,0.15,-inf
601,10000,150,1.5,3.25,550,0.5,-inf
601,10000,150,1.5,3.5,250,0.1,-inf
601,10000,150,1.5,3.25,600,0.5,-inf
601,10000,150,1.5,3.25,600,0.45,-inf
601,10000,150,1.5,3.25,600,0.4,-inf
601,10000,150,1.5,3.25,600,0.35,-inf
601,10000,150,1.5,3.25,600,0.3,-inf
601,10000,150,1.5,3.25,600,0.25,-inf
601,10000,150,1.5,3.25,600,0.2,-inf
601,10000,150,1.5,3.25,600,0.15,-inf
601,10000,150,1.5,3.25,600,0.1,-inf
601,10000,150,1.5,3.25,575,0.5,-inf
601,10000,150,1.5,3.25,575,0.45,-inf
601,10000,150,1.5,3.25,575,0.4,-inf
601,10000,150,1.5,3.25,575,0.35,-inf
601,10000,150,1.5,3.25,575,0.3,-inf
601,10000,150,1.5,3.25,575,0.25,-inf
601,10000,150,1.5,3.25,575,0.2,-inf
601,10000,150,1.5,3.25,575,0.15,-inf
601,10000,150,1.5,3.25,575,0.1,-inf
601,10000,150,1.5,3.5,375,0.25,-inf
601,10000,150,1.5,3.5,375,0.3,-inf
601,10000,150,1.5,3.5,375,0.35,-inf
601,10000,150,1.5,3.5,575,0.15,-inf
601,10000,150,1.5,3.5,550,0.5,-inf
601,10000,150,1.5,3.5,550,0.45,-inf
601,10000,150,1.5,3.5,550,0.4,-inf
601,10000,150,1.5,3.5,550,0.35,-inf
601,10000,150,1.5,3.5,550,0.3,-inf
601,10000,150,1.5,3.5,550,0.25,-inf
601,10000,150,1.5,3.5,550,0.2,-inf
601,10000,150,1.5,3.5,550,0.15,-inf
601,10000,150,1.5,3.5,550,0.1,-inf
601,10000,150,1.5,3.5,525,0.5,-inf
601,10000,150,1.5,3.5,525,0.45,-inf
601,10000,150,1.5,3.5,525,0.4,-inf
601,10000,150,1.5,3.5,525,0.35,-inf
601,10000,150,1.5,3.5,525,0.3,-inf
601,10000,150,1.5,3.5,525,0.25,-inf
601,10000,150,1.5,3.5,525,0.2,-inf
601,10000,150,1.5,3.5,525,0.15,-inf
601,10000,150,1.5,3.5,525,0.1,-inf
601,10000,150,1.5,3.5,500,0.5,-inf
601,10000,150,1.5,3.5,575,0.1,-inf
601,10000,150,1.5,3.5,575,0.2,-inf
601,10000,150,1.5,3.5,500,0.4,-inf
601,10000,150,1.5,3.5,575,0.25,-inf
601,10000,150,1.5,3.75,250,0.3,-inf
601,10000,150,1.5,3.75,250,0.25,-inf
601,10000,150,1.5,3.75,250,0.2,-inf
601,10000,150,1.5,3.75,250,0.15,-inf
601,10000,150,1.5,3.75,250,0.1,-inf
601,10000,150,1.5,3.5,600,0.5,-inf
601,10000,150,1.5,3.5,600,0.45,-inf
601,10000,150,1.5,3.5,600,0.4,-inf
601,10000,150,1.5,3.5,600,0.35,-inf
601,10000,150,1.5,3.5,600,0.3,-inf
601,10000,150,1.5,3.5,600,0.25,-inf
601,10000,150,1.5,3.5,600,0.2,-inf
601,10000,150,1.5,3.5,600,0.15,-inf
601,10000,150,1.5,3.5,600,0.1,-inf
601,10000,150,1.5,3.5,575,0.5,-inf
601,10000,150,1.5,3.5,575,0.45,-inf
601,10000,150,1.5,3.5,575,0.4,-inf
601,10000,150,1.5,3.5,575,0.35,-inf
601,10000,150,1.5,3.5,575,0.3,-inf
601,10000,150,1.5,3.5,500,0.45,-inf
601,10000,150,1.5,3.5,500,0.35,-inf
601,10000,150,1.5,3.5,375,0.4,-inf
601,10000,150,1.5,3.5,450,0.1,-inf
601,10000,150,1.5,3.5,425,0.45,-inf
601,10000,150,1.5,3.5,425,0.4,-inf
601,10000,150,1.5,3.5,425,0.35,-inf
601,10000,150,1.5,3.5,425,0.3,-inf
601,10000,150,1.5,3.5,425,0.25,-inf
601,10000,150,1.5,3.5,425,0.2,-inf
601,10000,150,1.5,3.5,425,0.15,-inf
601,10000,150,1.5,3.5,425,0.1,-inf
601,10000,150,1.5,3.5,400,0.5,-inf
601,10000,150,1.5,3.5,400,0.45,-inf
601,10000,150,1.5,3.5,400,0.4,-inf
601,10000,150,1.5,3.5,400,0.35,-inf
601,10000,150,1.5,3.5,400,0.3,-inf
601,10000,150,1.5,3.5,400,0.25,-inf
601,10000,150,1.5,3.5,400,0.2,-inf
601,10000,150,1.5,3.5,400,0.15,-inf
601,10000,150,1.5,3.5,400,0.1,-inf
601,10000,150,1.5,3.5,375,0.5,-inf
601,10000,150,1.5,3.5,375,0.45,-inf
601,10000,150,1.5,3.5,425,0.5,-inf
601,10000,150,1.5,3.5,450,0.15,-inf
601,10000,150,1.5,3.5,500,0.3,-inf
601,10000,150,1.5,3.5,450,0.2,-inf
601,10000,150,1.5,3.5,500,0.25,-inf
601,10000,150,1.5,3.5,500,0.2,-inf
601,10000,150,1.5,3.5,500,0.15,-inf
601,10000,150,1.5,3.5,500,0.1,-inf
601,10000,150,1.5,3.5,475,0.5,-inf
601,10000,150,1.5,3.5,475,0.45,-inf
601,10000,150,1.5,3.5,475,0.4,-inf
601,10000,150,1.5,3.5,475,0.35,-inf
601,10000,150,1.5,3.5,475,0.3,-inf
601,10000,150,1.5,3.5,475,0.25,-inf
601,10000,150,1.5,3.5,475,0.2,-inf
601,10000,150,1.5,3.5,475,0.15,-inf
601,10000,150,1.5,3.5,475,0.1,-inf
601,10000,150,1.5,3.5,450,0.5,-inf
601,10000,150,1.5,3.5,450,0.45,-inf
601,10000,150,1.5,3.5,450,0.4,-inf
601,10000,150,1.5,3.5,450,0.35,-inf
601,10000,150,1.5,3.5,450,0.3,-inf
601,10000,150,1.5,3.5,450,0.25,-inf
601,10000,150,1.5,3.25,500,0.25,-inf
601,10000,150,1.5,3.25,500,0.2,-inf
601,10000,150,1.5,3.25,500,0.15,-inf
601,10000,150,1.5,3.0,550,0.25,-inf
601,10000,150,1.5,3.0,550,0.15,-inf
601,10000,150,1.5,3.0,550,0.1,-inf
601,10000,150,1.5,3.0,525,0.5,-inf
601,10000,150,1.5,3.0,525,0.45,-inf
601,10000,150,1.5,3.0,525,0.4,-inf
601,10000,150,1.5,3.0,525,0.35,-inf
601,10000,150,1.5,3.0,525,0.3,-inf
601,10000,150,1.5,3.0,525,0.25,-inf
601,10000,150,1.5,3.0,525,0.2,-inf
601,10000,150,1.5,3.0,525,0.15,-inf
601,10000,150,1.5,3.0,525,0.1,-inf
601,10000,150,1.5,3.0,500,0.5,-inf
601,10000,150,1.5,3.0,500,0.45,-inf
601,10000,150,1.5,3.0,500,0.4,-inf
601,10000,150,1.5,3.0,500,0.35,-inf
601,10000,150,1.5,3.0,500,0.3,-inf
601,10000,150,1.5,3.0,500,0.25,-inf
601,10000,150,1.5,3.0,500,0.2,-inf
601,10000,150,1.5,3.0,500,0.15,-inf
601,10000,150,1.5,3.0,550,0.2,-inf
601,10000,150,1.5,3.0,550,0.3,-inf
601,10000,150,1.5,3.0,475,0.5,-inf
601,10000,150,1.5,3.0,550,0.35,-inf
601,10000,150,1.5,3.0,600,0.4,-inf
601,10000,150,1.5,3.0,600,0.35,-inf
601,10000,150,1.5,3.0,600,0.3,-inf
601,10000,150,1.5,3.0,600,0.25,-inf
601,10000,150,1.5,3.0,600,0.2,-inf
601,10000,150,1.5,3.0,600,0.15,-inf
601,10000,150,1.5,3.0,600,0.1,-inf
601,10000,150,1.5,3.0,575,0.5,-inf
601,10000,150,1.5,3.0,575,0.45,-inf
601,10000,150,1.5,3.0,575,0.4,-inf
601,10000,150,1.5,3.0,575,0.35,-inf
601,10000,150,1.5,3.0,575,0.3,-inf
601,10000,150,1.5,3.0,575,0.25,-inf
601,10000,150,1.5,3.0,575,0.2,-inf
601,10000,150,1.5,3.0,575,0.15,-inf
601,10000,150,1.5,3.0,575,0.1,-inf
601,10000,150,1.5,3.0,550,0.5,-inf
601,10000,150,1.5,3.0,550,0.45,-inf
601,10000,150,1.5,3.0,550,0.4,-inf
601,10000,150,1.5,3.0,500,0.1,-inf
601,10000,150,1.5,3.0,475,0.45,-inf
601,10000,150,1.5,3.0,600,0.5,-inf
601,10000,150,1.5,3.0,425,0.2,-inf
601,10000,150,1.5,3.0,425,0.1,-inf
601,10000,150,1.5,3.0,400,0.5,-inf
601,10000,150,1.5,3.0,400,0.45,-inf
601,10000,150,1.5,3.0,400,0.4,-inf
601,10000,150,1.5,3.0,400,0.35,-inf
601,10000,150,1.5,3.0,400,0.3,-inf
601,10000,150,1.5,3.0,400,0.25,-inf
601,10000,150,1.5,3.0,400,0.2,-inf
601,10000,150,1.5,3.0,400,0.15,-inf
601,10000,150,1.5,3.0,400,0.1,-inf
601,10000,150,1.5,3.0,375,0.5,-inf
601,10000,150,1.5,3.0,375,0.45,-inf
601,10000,150,1.5,3.0,375,0.4,-inf
601,10000,150,1.5,3.0,375,0.35,-inf
601,10000,150,1.5,3.0,375,0.3,-inf
601,10000,150,1.5,3.0,375,0.25,-inf
601,10000,150,1.5,3.0,375,0.2,-inf
601,10000,150,1.5,3.0,375,0.15,-inf
601,10000,150,1.5,3.0,375,0.1,-inf
601,10000,150,1.5,3.0,425,0.15,-inf
601,10000,150,1.5,3.0,425,0.25,-inf
601,10000,150,1.5,3.0,475,0.4,-inf
601,10000,150,1.5,3.0,425,0.3,-inf
601,10000,150,1.5,3.0,475,0.35,-inf
601,10000,150,1.5,3.0,475,0.3,-inf
601,10000,150,1.5,3.0,475,0.25,-inf
601,10000,150,1.5,3.0,475,0.2,-inf
601,10000,150,1.5,3.0,475,0.15,-inf
601,10000,150,1.5,3.0,475,0.1,-inf
601,10000,150,1.5,3.0,450,0.5,-inf
601,10000,150,1.5,3.0,450,0.45,-inf
601,10000,150,1.5,3.0,450,0.4,-inf
601,10000,150,1.5,3.0,450,0.35,-inf
601,10000,150,1.5,3.0,450,0.3,-inf
601,10000,150,1.5,3.0,450,0.25,-inf
601,10000,150,1.5,3.0,450,0.2,-inf
601,10000,150,1.5,3.0,450,0.15,-inf
601,10000,150,1.5,3.0,450,0.1,-inf
601,10000,150,1.5,3.0,425,0.5,-inf
601,10000,150,1.5,3.0,425,0.45,-inf
601,10000,150,1.5,3.0,425,0.4,-inf
601,10000,150,1.5,3.0,425,0.35,-inf
601,10000,150,1.5,3.0,600,0.45,-inf
601,10000,150,1.5,3.25,250,0.1,-inf
601,10000,150,1.5,3.25,500,0.1,-inf
601,10000,150,1.5,3.25,425,0.35,-inf
601,10000,150,1.5,3.25,425,0.25,-inf
601,10000,150,1.5,3.25,425,0.2,-inf
601,10000,150,1.5,3.25,425,0.15,-inf
601,10000,150,1.5,3.25,425,0.1,-inf
601,10000,150,1.5,3.25,400,0.5,-inf
601,10000,150,1.5,3.25,400,0.45,-inf
601,10000,150,1.5,3.25,400,0.4,-inf
601,10000,150,1.5,3.25,400,0.35,-inf
601,10000,150,1.5,3.25,400,0.3,-inf
601,10000,150,1.5,3.25,400,0.25,-inf
601,10000,150,1.5,3.25,400,0.2,-inf
601,10000,150,1.5,3.25,400,0.15,-inf
601,10000,150,1.5,3.25,400,0.1,-inf
601,10000,150,1.5,3.25,375,0.5,-inf
601,10000,150,1.5,3.25,375,0.45,-inf
601,10000,150,1.5,3.25,375,0.4,-inf
601,10000,150,1.5,3.25,375,0.35,-inf
601,10000,150,1.5,3.25,375,0.3,-inf
601,10000,150,1.5,3.25,375,0.25,-inf
601,10000,150,1.5,3.25,425,0.3,-inf
601,10000,150,1.5,3.25,425,0.4,-inf
601,10000,150,1.5,3.25,375,0.15,-inf
601,10000,150,1.5,3.25,425,0.45,-inf
601,10000,150,1.5,3.25,475,0.5,-inf
601,10000,150,1.5,3.25,475,0.45,-inf
601,10000,150,1.5,3.25,475,0.4,-inf
601,10000,150,1.5,3.25,475,0.35,-inf
601,10000,150,1.5,3.25,475,0.3,-inf
601,10000,150,1.5,3.25,475,0.25,-inf
601,10000,150,1.5,3.25,475,0.2,-inf
601,10000,150,1.5,3.25,475,0.15,-inf
601,10000,150,1.5,3.25,475,0.1,-inf
601,10000,150,1.5,3.25,450,0.5,-inf
601,10000,150,1.5,3.25,450,0.45,-inf
601,10000,150,1.5,3.25,450,0.4,-inf
601,10000,150,1.5,3.25,450,0.35,-inf
601,10000,150,1.5,3.25,450,0.3,-inf
601,10000,150,1.5,3.25,450,0.25,-inf
601,10000,150,1.5,3.25,450,0.2,-inf
601,10000,150,1.5,3.25,450,0.15,-inf
601,10000,150,1.5,3.25,450,0.1,-inf
601,10000,150,1.5,3.25,425,0.5,-inf
601,10000,150,1.5,3.25,375,0.2,-inf
601,10000,150,1.5,3.25,375,0.1,-inf
601,10000,150,1.5,3.25,250,0.15,-inf
601,10000,150,1.5,3.25,300,0.3,-inf
601,10000,150,1.5,3.25,300,0.2,-inf
601,10000,150,1.5,3.25,300,0.15,-inf
601,10000,150,1.5,3.25,300,0.1,-inf
601,10000,150,1.5,3.25,275,0.5,-inf
601,10000,150,1.5,3.25,275,0.45,-inf
601,10000,150,1.5,3.25,275,0.4,-inf
601,10000,150,1.5,3.25,275,0.35,-inf
601,10000,150,1.5,3.25,275,0.3,-inf
601,10000,150,1.5,3.25,275,0.25,-inf
601,10000,150,1.5,3.25,275,0.2,-inf
601,10000,150,1.5,3.25,275,0.15,-inf
601,10000,150,1.5,3.25,275,0.1,-inf
601,10000,150,1.5,3.25,250,0.5,-inf
601,10000,150,1.5,3.25,250,0.45,-inf
601,10000,150,1.5,3.25,250,0.4,-inf
601,10000,150,1.5,3.25,250,0.35,-inf
601,10000,150,1.5,3.25,250,0.3,-inf
601,10000,150,1.5,3.25,250,0.25,-inf
601,10000,150,1.5,3.25,250,0.2,-inf
601,10000,150,1.5,3.25,300,0.25,-inf
601,10000,150,1.5,3.25,300,0.35,-inf
601,10000,150,1.5,3.25,350,0.5,-inf
601,10000,150,1.5,3.25,300,0.4,-inf
601,10000,150,1.5,3.25,350,0.45,-inf
601,10000,150,1.5,3.25,350,0.4,-inf
601,10000,150,1.5,3.25,350,0.35,-inf
601,10000,150,1.5,3.25,350,0.3,-inf
601,10000,150,1.5,3.25,350,0.25,-inf
601,10000,150,1.5,3.25,350,0.2,-inf
601,10000,150,1.5,3.25,350,0.15,-inf
601,10000,150,1.5,3.25,350,0.1,-inf
601,10000,150,1.5,3.25,325,0.5,-inf
601,10000,150,1.5,3.25,325,0.45,-inf
601,10000,150,1.5,3.25,325,0.4,-inf
601,10000,150,1.5,3.25,325,0.35,-inf
601,10000,150,1.5,3.25,325,0.3,-inf
601,10000,150,1.5,3.25,325,0.25,-inf
601,10000,150,1.5,3.25,325,0.2,-inf
601,10000,150,1.5,3.25,325,0.15,-inf
601,10000,150,1.5,3.25,325,0.1,-inf
601,10000,150,1.5,3.25,300,0.5,-inf
601,10000,150,1.5,3.25,300,0.45,-inf
601,10000,150,1.5,3.75,250,0.35,-inf
601,10000,150,1.5,3.75,250,0.45,-inf
601,10000,165,0.5,3.0,525,0.35,-inf
601,10000,150,1.5,4.0,550,0.4,-inf
601,10000,150,1.5,4.0,575,0.4,-inf
601,10000,150,1.5,4.0,575,0.35,-inf
601,10000,150,1.5,4.0,575,0.3,-inf
601,10000,150,1.5,4.0,575,0.25,-inf
601,10000,150,1.5,4.0,575,0.2,-inf
601,10000,150,1.5,4.0,575,0.15,-inf
601,10000,150,1.5,4.0,575,0.1,-inf
601,10000,150,1.5,4.0,550,0.5,-inf
601,10000,150,1.5,4.0,550,0.45,-inf
601,10000,150,1.5,4.0,550,0.35,-inf
601,10000,150,1.5,3.75,250,0.5,-inf
601,10000,150,1.5,4.0,550,0.3,-inf
601,10000,150,1.5,4.0,550,0.25,-inf
601,10000,150,1.5,4.0,550,0.2,-inf
601,10000,150,1.5,4.0,550,0.15,-inf
601,10000,150,1.5,4.0,550,0.1,-inf
601,10000,150,1.5,4.0,525,0.5,-inf
601,10000,150,1.5,4.0,525,0.45,-inf
601,10000,150,1.5,4.0,525,0.4,-inf
601,10000,150,1.5,4.0,525,0.35,-inf
601,10000,150,1.5,4.0,575,0.45,-inf
601,10000,150,1.5,4.0,575,0.5,-inf
601,10000,150,1.5,4.0,600,0.1,-inf
601,10000,150,1.5,4.0,600,0.15,-inf
601,10000,165,0.5,3.0,275,0.2,-inf
601,10000,165,0.5,3.0,275,0.15,-inf
601,10000,165,0.5,3.0,275,0.1,-inf
601,10000,165,0.5,3.0,250,0.5,-inf
601,10000,165,0.5,3.0,250,0.45,-inf
601,10000,165,0.5,3.0,250,0.4,-inf
601,10000,165,0.5,3.0,250,0.35,-inf
601,10000,165,0.5,3.0,250,0.3,-inf
601,10000,165,0.5,3.0,250,0.25,-inf
601,10000,165,0.5,3.0,250,0.2,-inf
601,10000,165,0.5,3.0,250,0.15,-inf
601,10000,165,0.5,3.0,250,0.1,-inf
601,10000,150,1.5,4.0,600,0.5,-inf
601,10000,150,1.5,4.0,600,0.45,-inf
601,10000,150,1.5,4.0,600,0.4,-inf
601,10000,150,1.5,4.0,600,0.35,-inf
601,10000,150,1.5,4.0,600,0.3,-inf
601,10000,150,1.5,4.0,600,0.25,-inf
601,10000,150,1.5,4.0,600,0.2,-inf
601,10000,150,1.5,4.0,525,0.3,-inf
601,10000,150,1.5,4.0,525,0.25,-inf
601,10000,150,1.5,4.0,525,0.2,-inf
601,10000,150,1.5,4.0,450,0.4,-inf
601,10000,150,1.5,4.0,450,0.3,-inf
601,10000,150,1.5,4.0,450,0.25,-inf
601,10000,150,1.5,4.0,450,0.2,-inf
601,10000,150,1.5,4.0,450,0.15,-inf
601,10000,150,1.5,4.0,450,0.1,-inf
601,10000,150,1.5,4.0,425,0.5,-inf
601,10000,150,1.5,4.0,425,0.45,-inf
601,10000,150,1.5,4.0,425,0.4,-inf
601,10000,150,1.5,4.0,425,0.35,-inf
601,10000,150,1.5,4.0,425,0.3,-inf
601,10000,150,1.5,4.0,425,0.25,-inf
601,10000,150,1.5,4.0,425,0.2,-inf
601,10000,150,1.5,4.0,425,0.15,-inf
601,10000,150,1.5,4.0,425,0.1,-inf
